Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Indian Summer","Window Rock - East > Window Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/110239856/indian-summer,2.5,-1,Trad,"5.8 R",1,85,42.08603,-113.72268
"She Bop","Anteater - West > Anteater Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105741059/she-bop,2.0,-1,Trad,5.9,1,120,42.08229,-113.7218
"Soap on a Rope","Bath Rock - East > Bath Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105980608/soap-on-a-rope,2.2,-1,Trad,"5.7 R",1,190,42.07583,-113.72191
"Lowe Route","Decadent Wall > Breadloaves > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/112962578/lowe-route,1.9,-1,Trad,5.6,1,100,42.08612,-113.72944
"Barf Crack","Nausea Wall > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/106806565/barf-crack,2.6,-1,Trad,5.9,1,,42.04138,-113.71662
Chimney,"Super Hits - Bloody Fingers > Breadloaves > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105967535/chimney,1.9,-1,Trad,"5.6 PG13",1,105,42.08728,-113.72925
Modelo,"Great Wall > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/106765491/modelo,2.5,-1,Trad,5.8+,2,200,42.09522,-113.70837
"Suburban Sprawl","Parking Lot Rock - West > Parking Lot Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105956721/suburban-sprawl,2.3,-1,"Trad, Sport","5.10- R",1,140,42.08342,-113.72294
Felspfeiler,"Steinfell's Dome > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/108773817/felspfeiler,2.2,-1,Sport,5.8,1,110,42.09646,-113.68672
"North Face Right","Mushroom Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/106754166/north-face-right,1.9,-1,Sport,5.9,1,60,42.08528,-113.7108
"Lookout Ridge","Lookout Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/119010001/lookout-ridge,2.4,-1,Trad,"5.5 R",1,140,42.07576,-113.71046
"Ruby and the Dykes","Checkered Demon > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/106015694/ruby-and-the-dykes,2.3,-1,Trad,5.10a,1,60,42.06539,-113.70937
"Beyond and Back","Rabbit Rock - Northeast > Rabbit Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/111915533/beyond-and-back,2.4,-1,Trad,5.8,1,100,42.08358,-113.72075
[Redacted],"Decadent Wall > Breadloaves > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/107536885/redacted,1.6,-1,Trad,5.4,1,100,42.08612,-113.72944
Beeline,"Creekside > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/115338096/beeline,2.1,-1,Trad,5.7,1,100,42.08058,-113.72115
"Inner Circle","Inner Circle > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/113379172/inner-circle,2.5,-1,Trad,"5.10a/b PG13",1,90,42.07565,-113.70354
"Original Left","Practice Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/108194890/original-left,1.7,-1,Trad,5.7,1,40,42.07125,-113.70772
"Route 66","Upper Broadloaves - North > Breadloaves > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/106494034/route-66,1.9,-1,Trad,5.8,1,80,42.08838,-113.7291
"Hang Ten","Odyssey > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105886978/hang-ten,2.1,-1,Sport,5.10b,1,60,42.08032,-113.70666
"Low Voltage Left","Geowatt > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/115432760/low-voltage-left,2.0,-1,Sport,5.7,1,70,42.09275,-113.69771
"Bad Crack","Upper Breadloaves - West > Breadloaves > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/108006668/bad-crack,2.3,-1,Trad,5.10a,1,85,42.08797,-113.72939
"Boxtop Crack","The Boxtop > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/112106728/boxtop-crack,2.4,-1,Trad,5.6,1,60,42.0809,-113.70743
"Groovy Toprope","King on the Throne - West > King on the Throne > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/113075416/groovy-toprope,2.4,-1,TR,5.10,1,50,42.08476,-113.72663
"Solo Mission","Parking Lot Rock - West > Parking Lot Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105741662/solo-mission,2.0,-1,Trad,5.7,1,180,42.08342,-113.72294
"Pig Arete","No Start Wall > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/111966323/pig-arete,2.3,-1,Trad,5.9,1,115,42.08595,-113.71191
"Lion of Judah","Lion's Head > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/107171569/lion-of-judah,2.3,-1,Sport,5.10b/c,1,110,42.0917,-113.6982
"Old School, New School","Steinfell's Dome > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/110102041/old-school-new-school,2.5,-1,Trad,"5.7+ PG13",2,280,42.09646,-113.68672
RKM,"Creekside > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/115454157/rkm,2.1,-1,Trad,5.6,1,100,42.08058,-113.72115
"Mr. Toad's Wild Ride","Toad Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/115452012/mr-toads-wild-ride,2.5,-1,Trad,5.4,1,35,42.06953,-113.70961
Dragonfly,"The Mall > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/119298980/dragonfly,2.5,-1,Trad,5.10,1,50,42.08948,-113.72753
"Red Headed Steppe Child","Lower Decadent - Asian Wall > Breadloaves > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/119124504/red-headed-steppe-child,2.5,-1,Trad,5.7+,1,80,42.0867,-113.7292
"Garden Gnome","The Drilling Fields > Drilling Fields > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/107695735/garden-gnome,2.0,-1,Trad,5.8,1,90,42.08183,-113.71814
Breezeway,"Bloody Fingers Corridor > Breadloaves > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105962097/breezeway,1.6,-1,Trad,5.6,1,60,42.08751,-113.7293
Groove,"Practice Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105741650/groove,1.7,-1,"Trad, TR",5.7,1,50,42.07125,-113.70772
"Touch of Gray","White Wall > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105981091/touch-of-gray,1.8,-1,Sport,5.10a/b,1,60,42.09138,-113.70465
"Garden Gnome Direct","The Drilling Fields > Drilling Fields > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/117648067/garden-gnome-direct,2.3,-1,Trad,5.9,1,90,42.08183,-113.71814
"Crystalline Undulations","Bath Rock - South > Bath Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/111970977/crystalline-undulations,2.3,-1,Sport,5.8,2,200,42.07486,-113.72163
"The Flake","The Wart > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105862575/the-flake,2.1,-1,Trad,5.8,1,,42.07699,-113.72211
Outland,"Finger Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/109562185/outland,2.3,-1,Trad,5.10a,1,60,42.10229,-113.74263
"Destroy all Planets","Window Rock - East > Window Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105807060/destroy-all-planets,1.7,-1,"Trad, Sport","5.10a R",1,200,42.08603,-113.72268
"Water Groove","King on the Throne - West > King on the Throne > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/113457466/water-groove,2.2,-1,Trad,5.10,1,60,42.08476,-113.72663
"Gravy on the Cake","The Boxtop > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/118732723/gravy-on-the-cake,2.3,-1,Sport,5.10a,1,35,42.0809,-113.70743
